,0,1
0,id,276326017
1,sendTime,2021-04-28T14:26:44Z
2,sendTimePersian,1400/02/08 18:56
3,senderName,Shahrokhi65
4,senderUsername,shahrokhi65
5,senderProfileImage,default
6,content,#برکت سهم دقیقا خورد به میدلاین کانال امروز برا خرید نقطه خوبی بود ولی خب یه مقامت محکم رو 3400 داره که به نظر من با توجه به کفسازی خوبش توانایی رد کردنشو داره اگه 3400 رو رد کنه میشه یه حمایت مستحکم تا حالا چند بار بهش خورده و برگشته ولی این دفعه ردش میکنه
7,type,twit
8,imageUid,cd19b161-2a42-492b-a0ea-792d820106ee
9,mediaContentType,image/jpeg
10,finalPullDatePersian,
